category,descrip,name,topics,type
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015\nLCR Column Heading = Code of Incident Type\nLCR DESC Column Heading = Description of Incident Type'",b'raleigh police master file',Police/raleigh-police-master-file/h3hp-w,b'Filtered View'
b'Urban Planning',"b'Explore COR Building Permit data from 2000 to the current date, which covers construction related permits related to buildings. Dataset is updated daily. This dataset does not include plumbing, electrical, mechanical, right of way, grading or other types of permits.'",b'Building Permits - 2012+',Urban-Planning/Building-Permits-2012-/8uzp-v7p9,b'Filtered View'
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2012, 2013 (when 2010 and 2011 becomes available it will be added)'",b'All Police Incident Data conditional highlight by year',Police/All-Police-Incident-Data-conditional-highlight-by-/hrqt-vu4b,b'Filtered View'
b'Urban Planning',"b'This is a copy of our official COR Building Permit data - https://data.raleighnc.gov/d/xce4-kemu - but only showing data from 2013 to present. These permits cover construction related permits related to buildings and includes non-construction inspections. Dataset is updated daily. This dataset does not include plumbing, electrical, mechanical, right of way, grading or other types of permits.'",b'Building Permits - Non-Residential - BLDS (2014-Present)',Urban-Planning/Building-Permits-Non-Residential-BLDS-2014-Present/j8mi-4t5w,b'Filtered View'
,"b'This map summarizes racial and ethnic diversity in the United States in 2012. The Diversity Index shows the likelihood that two persons chosen at random from the same area, belong to different race or ethnic groups. The index ranges from 0 (no diversity) to 100 (complete diversity).  \nDiversity in the U.S. population is increasing.  The diversity score for the entire United States in 2012 is 61.\nThe geography depicts States at greater than 50m scale, Counties at 7.5m to 50m scale, Census Tracts at 200k to 7.5m scale, and Census Block Groups at less than 200k scale.\nScale Range: 1:591,657,528 down to 1:72,224\nFor more information on this map, including our terms of use, visit us online at http://goto.arcgisonline.com/maps/Demographics/USA_Diversity_Index'",b'Diversity Index by Block Groups',Diversity-Index-by-Block-Groups/hhqc-xtrq,b'Map'
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2012, 2013 (when 2010 and 2011 becomes available it will be added)'","b'All Police Incident Data conditional highlight by year, filtered by year,  stage 1 categories'",Police/All-Police-Incident-Data-conditional-highlight-by-/k6ij-tfam,b'Map'
b'Police',"b'This is the City of Raleigh Police Incident Data for 2005, 2006, 2007, 2008, 2009, 2012, 2013 (when 2010 and 2011 becomes available it will be added)'","b'All Police Incident Data conditional highlight by year, filtered by year and stage 1 Incident'",Police/All-Police-Incident-Data-conditional-highlight-by-/g8gd-c5um,b'Filtered View'
b'Fiscal Year 2014',b'City of Raleigh FY13 and FY14 FINAL Adopted Budgets. See attached PDF for an explanation of the budget process.',b'FY13 and FY14 Adopted Budgets',Fiscal-Year-2014/FY13-and-FY14-Adopted-Budgets/yqsb-9z,b'Dataset'
b'Urban Planning',"b'This is a copy of our official COR Building Permit data - https://data.raleighnc.gov/d/xce4-kemu - but only showing data from 2013 to present. These permits cover construction related permits related to buildings and includes non-construction inspections. Dataset is updated daily. This dataset does not include plumbing, electrical, mechanical, right of way, grading or other types of permits.'",b'Building Permits - BLDS (2013-Present)',Urban-Planning/Building-Permits-BLDS-2013-Present-/5q5u-xiqj,b'Dataset'
b'Fire',"b'Fire Incident Data from January 1, 2007 through the most currently released data. Data is currently scheduled for release by the 5th of the current month for the previous month.'",b'Fire Dispatch Calls - New View',Fire/Fire-Dispatch-Calls-New-View/s2k8-6kjj,b'Filtered View'
b'Fiscal Year 2015 Proposed to Council',"b'The FY15 information is only for operating funds (not capital), and just expenditure data. The totals are also inclusive of interfund transfers, meaning if someone tries to sum all the data in a year, it won\xe2\x80\x99t match the published net budget total.'",b'FY14 Adopted and FY15 Proposed Budget by Division - Column Chart - Alphabetically',Fiscal-Year-2015-Proposed-to-Council/FY14-Adopted-and-FY15-Proposed-Budget-by-Division-/5v8d-v24,b'Chart'
b'Fire',"b'Fire Incident Data from January 1, 2007 through the most currently released data. Data is currently scheduled for release by the 5th of the current month for the previous month.\nAttached below is a PDF with all of the codes and an explanation of them. The CoR FD excludes incident types of 300 through 399 and type 661 because of the calls being EMS related and our concerns for privacy.'","b'Fire Incident Point Map - January 1, 2007 Through Current Release'",Fire/Fire-Incident-Point-Map-January-1-2007-Through-Cur/293r-v5a9,b'Map'
b'Urban Planning',"b'Explore COR Building Permit data from 2000 to the current date, which covers construction related permits related to buildings. Dataset is updated daily. This dataset does not include plumbing, electrical, mechanical, right of way, grading or other types of permits.'",b'New Building Construction (Since 2009)',Urban-Planning/New-Building-Construction-Since-2009-/h5dd-nncw,b'Filtered View'
b'Fire',"b'Fire Incident Data from January 1, 2007 through the most currently released data. Data is currently scheduled for release by the 5th of the current month for the previous month.'",b'Year-of-2015',Fire/Year-of-2015/xz8b-sn83,b'Map'
b'Fire',"b'Fire Incident Data from January 1, 2007 through the most currently released data. Data is currently scheduled for release by the 5th of the current month for the previous month.'",b'Year of 2014',Fire/Year-of-2014/bj3p-xrf,b'Filtered View'
b'Fiscal Year 2014 Proposed to Council',b'Fiscal Year 2014 Proposed Budget.',b'FY14 Proposed Budget',Fiscal-Year-2014-Proposed-to-Council/FY14-Proposed-Budget/kunb-rvuw,b'Filtered View'
b'Fire',"b'Fire Incident Data from January 1, 2007 through the most currently released data. Data is currently scheduled for release by the 5th of the current month for the previous month.'","b'Fire Incident Data - January 1, 2007 to Most Current Release'",Fire/Fire-Incident-Data-January-1-2007-to-Most-Current-/auq5-m56,b'Filtered View'
b'Fiscal Year 2015 Proposed to Council',"b'The FY15 information is only for operating funds (not capital), and just expenditure data. The totals are also inclusive of interfund transfers, meaning if someone tries to sum all the data in a year, it won\xe2\x80\x99t match the published net budget total.'",b'City Of Raleigh FY14 Adopted And FY15 Proposed Budgets-01',Fiscal-Year-2015-Proposed-to-Council/City-Of-Raleigh-FY14-Adopted-And-FY15-Proposed-Bud/uaii-fiij,b'Dataset'
