category,descrip,name,topics,type
b'Public Safety',b'Chicago Police district station locations and contact information.',b'Police Stations',Public-Safety/Police-Stations/z8bn-74gv,b'Dataset'
b'Administration & Finance',"b""The Department of Streets & Sanitation's (DSS) Graffiti Blasters crews offer a vandalism removal service to private property owners. This metric tracks the average number of days DSS takes to complete graffiti removal requests per week. Median days to complete requests as well as total number of requests fulfilled per week are available by mousing over columns. Currently the performance target for completing a graffiti removal request is 10 days. For more information on graffiti removal requests, see https://data.cityofchicago.org/d/hec5-y4x5""",b'Performance Metrics - Streets & Sanitation - Graffiti Removal',Administration-Finance/Performance-Metrics-Streets-Sanitation-Graffiti-Re/qcfn-tiw7,b'Dataset'
b'Community & Economic Development',"b'Small Business Improvement Fund (SBIF) program grants made since 2001. SBIF uses Tax Increment Financing (TIF) revenues to help owners of commercial and industrial properties within specific TIF districts to repair or remodel their facilities for their own business or on behalf of tenants. For more info, go to http://bit.ly/p91J7T.'",b'Small Business Improvement Fund (SBIF) Grant Agreements',Community-Economic-Development/Small-Business-Improvement-Fund-SBIF-Grant-Agreeme/jp7n-tgm,b'Dataset'
b'Buildings',"b'This list describes landlords and property owners who are designated  ""problem landlords"". Landlords on this list have had two or more administrative hearing causes brought against them and were found liable or defaulted to one or more serious building violations.'",b'Problem Landlord List - Map',Buildings/Problem-Landlord-List-Map/dip3-ud6z,b'Map'
b'Transportation',"b'Map shows physical locations where CTA fare media, such as Transit Cards, CTA Passes and Chicago Cards were sold through approximately July 2014, prior to the implementation of Ventra cards. The locations for Ventra card sales/reloading are more extensive and not yet available in this format.  Please see http://www.transitchicago.com/ventra for information on the Ventra program and https://www.ventrachicago.com/retailers/locations to find Ventra retail locations.'",b'CTA - Map of Fare Media Sales Outlets (deprecated August 2014)',Transportation/CTA-Map-of-Fare-Media-Sales-Outlets-deprecated-Aug/pa8e-mhb,b'Map'
b'Transportation',b'List of all Chicago streets with suffixes and minimum and maximum address numbers.',b'Chicago Street Names',Transportation/Chicago-Street-Names/i6bp-fvbx,b'Dataset'
b'Community & Economic Development',"b'Vacant property owned and managed by the City of Chicago Department of Planning and Development. Information provided in the database, or on the City\xe2\x80\x99s website generally, should not be used as a substitute for title research, title evidence, title insurance, real estate tax exemption or payment status, environmental or geotechnical due diligence, or as a substitute for legal, accounting, real estate, business, tax or other professional advice. The City assumes no liability for any damages or loss of any kind that might arise from the reliance upon, use of, misuse of, or the inability to use the LIS database or the City\xe2\x80\x99s web site and the materials contained on the website. The City also assumes no liability for improper or incorrect use of materials or information contained on its website. All materials that appear in the LIS database or on the City\xe2\x80\x99s web site are distributed and transmitted ""as is,"" without warranties of any kind, either express or implied as to the accuracy, reliability or completeness of any information, and subject to the terms and conditions stated in this disclaimer.'",b'City-Owned Land Inventory',Community-Economic-Development/City-Owned-Land-Inventory/aksk-kv,b'Dataset'
b'Buildings',"b'The Chicago Building Scofflaw Ordinance (Section 2-92-416 of the Municipal Code of Chicago) is designed to prevent landlords that refuse or refrain from correcting ongoing building code violations from receiving city contracts, including those that subsidize housing. Building owners must have a least three residential buildings with uncorrected violations and have had three or more properties referred to Circuit Court within the applicable 12 month period to be eligible for the list. The building code scofflaw list is updated once a year on the first business day of December, and building owners may appeal being named on the list. Building owners with controlling interest in at least three residential properties that have habitual, extensive or serioues building code violations are now ineligible for any new city contracts in 2015. The following individuals or entities have been placed on the Building Code Scofflaw list for the entire calendar year.'",b'Building Code Scofflaw List - Map',Buildings/Building-Code-Scofflaw-List-Map/hgat-td99,b'Map'
b'Service Requests',"b'This map shows potholes patched in the last seven days, based on the corresponding 311 service requests at https://data.cityofchicago.org/id/7as2-ds3y.'",b'Potholes Patched - Last Seven Days',Service-Requests/Potholes-Patched-Last-Seven-Days/xpdx-8ivx,b'Map'
b'Education',"b'Chicago Public Library locations, contact information, and hours of operation.'","b'Libraries - Locations, Hours and Contact Information'",Education/Libraries-Locations-Hours-and-Contact-Information/x8fc-8rcq,b'Dataset'
b'Buildings',"b'Violations issued by the Department of Buildings from 2006 to the present.  Lenders and title companies, please note: These data are historical in nature and should not be relied upon for real estate transactions. For transactional purposes such as closings, please consult the title commitment for outstanding enforcement actions in the Circuit Court of Cook County or the Chicago Department of Administrative Hearings. Violations are always associated to an inspection and there can be multiple violation records to one inspection record. Related Applications: Building Data Warehouse http://www.cityofchicago.org/city/en/depts/bldgs/provdrs/inspect/svcs/building_violationsonline.html. The information presented on this website is informational only and does not necessarily reflect the current condition of the building or property. The dataset contains cases where a respondent has been found to be liable as well as cases where the respondent has been found to be not liable.'",b'Building Violations',Buildings/Building-Violations/22u3-xen,b'Dataset'
b'Service Requests',"b""All 311 calls for open and vacant buildings reported to the City of Chicago since January 1, 2010. The information is updated daily with the previous day's calls added to the records. The data set provides the date of the 311 service request and the unique Service Request # attached to each request. For each request, the following information (as reported by the 311 caller) is available: address location of building; whether building is vacant or occupied; whether the building is open or boarded; entry point if building is open; whether non-residents are occupying or using the building, if the building appears dangerous or hazardous and if the building is vacant due to a fire.""",b'311 Service Requests - Vacant and Abandoned Buildings Reported',Service-Requests/311-Service-Requests-Vacant-and-Abandoned-Building/7nii-7,b'Dataset'
b'Facilities & Geographic Boundaries',"b'Current community area boundaries in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required.'",b'Boundaries - Community Areas (current)',Facilities-Geographic-Boundaries/Boundaries-Community-Areas-current-/cauq-8yn6,b'Map'
b'Community & Economic Development',"b'List of City of Chicago licensed Public Chauffeurs, who may operate a licensed Taxicab, Livery, or Horse-Drawn Carriage. For questions or issues regarding this dataset, please e-mail BACPPV@cityofchicago.org with chauffeur name, number, and question or issue. For more information on the Public Chauffeur program, please see http://www.cityofchicago.org/city/en/depts/bacp/supp_info/public_chauffeurinformation.html.'",b'Public Chauffeurs',Community-Economic-Development/Public-Chauffeurs/97wa-y6,b'Dataset'
b'Transportation',"b'This dataset displays location for vehicles that have been towed and impounded by the City of Chicago within the last 90 days. Illegally parked vehicles, abandoned vehicles and vehicles used for illegal activities may be towed by the Chicago Police Department, the Department of Streets and Sanitation, the Department of Revenue, Aviation and the office of the City Clerk. After a tow request is issued, an inventory number is assigned by the Department of Streets and Sanitation and a truck is dispatched to tow the requested vehicle to a City auto pound. Disclaimer: This dataset includes vehicles towed or relocated by the City of Chicago; it does not include vehicles towed by a private towing company. \nBackground Info: \nAuto Pound Locations (http://j.mp/kG5sgF).\nTow Process Overview (http://j.mp/lfBOEP).\nCommon Towing Questions (http://j.mp/imFYlp).\nParking and Standing Violations (http://j.mp/ifW8Uj).\nData Owner: Chicago Police Department.\nTime Period: Last 90 days.\nFrequency: Data is updated daily.\nRelated Applications: Find Your Vehicle (http://j.mp/lWn0S7).'",b'Towed Vehicles',Transportation/Towed-Vehicles/ygr5-vcb,b'Dataset'
